,Shark_sp,Deadly_act
0,undef. shark,surfing
1,undef. shark,surfing
2,undef. shark,surfing
3,undef. shark,surfing
4,undef. shark,surfing
5,undef. shark,fishing
6,undef. shark,swimming
7,tiger shark,swimming
8,undef. shark,surfing
9,undef. shark,sailing
10,undef. shark,surfing
11,undef. shark,sailing
12,white shark,fishing
13,bull shark,surfing
14,undef. shark,surfing
15,bull shark,surfing
16,undef. shark,swimming
17,undef. shark,diving
18,tiger shark,sailing
19,blacktip shark,surfing
20,undef. shark,swimming
21,undef. shark,swimming
22,white shark,surfing
23,nurse shark,undef. act
24,undef. shark,surfing
25,undef. shark,surfing
26,undef. shark,surfing
27,bull shark,fishing
28,reef shark,fishing
29,tiger shark,fishing
30,undef. shark,surfing
31,undef. shark,undef. act
32,undef. shark,swimming
33,undef. shark,diving
34,undef. shark,swimming
35,white shark,fishing
36,undef. shark,fishing
37,white shark,fishing
38,undef. shark,swimming
39,nurse shark,fishing
40,undef. shark,undef. act
41,undef. shark,surfing
42,reef shark,diving
43,white shark,fishing
44,undef. shark,sailing
45,undef. shark,swimming
46,undef. shark,surfing
47,undef. shark,fishing
48,undef. shark,sailing
49,undef. shark,sailing
50,undef. shark,surfing
51,undef. shark,swimming
52,undef. shark,diving
53,mako shark,swimming
54,copper shark,fishing
55,undef. shark,surfing
56,white shark,surfing
57,undef. shark,swimming
58,undef. shark,swimming
59,undef. shark,swimming
60,bull shark,swimming
61,undef. shark,swimming
62,blacktip shark,swimming
63,nurse shark,undef. act
64,undef. shark,sailing
65,mako shark,fishing
66,bull shark,surfing
67,undef. shark,surfing
68,white shark,surfing
69,undef. shark,swimming
70,reef shark,fishing
71,bull shark,fishing
72,tiger shark,sailing
73,undef. shark,undef. act
74,undef. shark,fishing
75,undef. shark,undef. act
76,undef. shark,diving
77,undef. shark,surfing
78,undef. shark,undef. act
79,undef. shark,surfing
80,nurse shark,undef. act
81,undef. shark,surfing
82,undef. shark,surfing
83,undef. shark,diving
84,undef. shark,undef. act
85,undef. shark,fishing
86,nurse shark,swimming
87,undef. shark,surfing
88,undef. shark,fishing
89,undef. shark,swimming
90,undef. shark,undef. act
91,undef. shark,surfing
92,undef. shark,sailing
93,undef. shark,surfing
94,undef. shark,fishing
95,reef shark,surfing
96,undef. shark,surfing
97,bull shark,fishing
98,mako shark,fishing
99,tiger shark,sailing
100,undef. shark,surfing
101,blacktip shark,swimming
102,undef. shark,fishing
103,white shark,fishing
104,undef. shark,swimming
105,undef. shark,sailing
106,copper shark,surfing
107,tiger shark,diving
108,undef. shark,undef. act
109,white shark,fishing
110,bull shark,fishing
111,undef. shark,swimming
112,undef. shark,surfing
113,undef. shark,swimming
114,undef. shark,surfing
115,bull shark,surfing
116,undef. shark,surfing
117,undef. shark,swimming
118,undef. shark,swimming
119,undef. shark,fishing
120,undef. shark,fishing
121,undef. shark,sailing
122,white shark,surfing
123,undef. shark,surfing
124,undef. shark,surfing
125,undef. shark,fishing
126,undef. shark,surfing
127,tiger shark,swimming
128,undef. shark,fishing
129,undef. shark,sailing
130,tiger shark,surfing
131,undef. shark,fishing
132,undef. shark,surfing
133,undef. shark,sailing
134,undef. shark,swimming
135,blacktip shark,surfing
136,blacktip shark,surfing
137,undef. shark,diving
138,white shark,fishing
139,undef. shark,surfing
140,tiger shark,fishing
141,undef. shark,swimming
142,undef. shark,undef. act
143,undef. shark,swimming
144,undef. shark,surfing
145,undef. shark,surfing
146,white shark,undef. act
147,hammerhead shark,fishing
148,white shark,surfing
149,undef. shark,undef. act
150,undef. shark,swimming
151,tiger shark,fishing
152,white shark,surfing
153,white shark,surfing
154,undef. shark,undef. act
155,undef. shark,surfing
156,undef. shark,surfing
157,undef. shark,sailing
158,white shark,fishing
159,undef. shark,swimming
160,hammerhead shark,fishing
161,white shark,surfing
162,undef. shark,surfing
163,undef. shark,sailing
164,white shark,diving
165,mako shark,fishing
166,copper shark,surfing
167,bull shark,surfing
168,white shark,surfing
169,white shark,surfing
170,undef. shark,sailing
171,undef. shark,swimming
172,undef. shark,fishing
173,undef. shark,undef. act
174,white shark,surfing
175,white shark,sailing
176,undef. shark,swimming
177,undef. shark,surfing
178,undef. shark,surfing
179,bull shark,swimming
180,white shark,sailing
181,undef. shark,swimming
182,white shark,surfing
183,undef. shark,sailing
184,undef. shark,swimming
185,undef. shark,surfing
186,nurse shark,swimming
187,white shark,surfing
188,undef. shark,sailing
189,undef. shark,fishing
190,undef. shark,swimming
191,bull shark,swimming
192,bull shark,swimming
193,mako shark,undef. act
194,undef. shark,sailing
195,bull shark,surfing
196,nurse shark,swimming
197,bull shark,surfing
198,undef. shark,sailing
199,undef. shark,swimming
200,undef. shark,fishing
201,undef. shark,swimming
202,undef. shark,surfing
203,undef. shark,undef. act
204,bull shark,diving
205,undef. shark,swimming
206,white shark,surfing
207,white shark,diving
208,undef. shark,diving
209,undef. shark,swimming
210,white shark,surfing
211,white shark,surfing
212,undef. shark,undef. act
213,undef. shark,sailing
214,bull shark,surfing
215,undef. shark,surfing
216,bull shark,fishing
217,undef. shark,diving
218,white shark,fishing
219,mako shark,swimming
220,tiger shark,sailing
221,blacktip shark,undef. act
222,undef. shark,fishing
223,undef. shark,fishing
224,reef shark,surfing
225,white shark,surfing
226,tiger shark,swimming
227,undef. shark,surfing
228,undef. shark,surfing
229,undef. shark,undef. act
230,bull shark,surfing
231,undef. shark,fishing
232,undef. shark,surfing
233,white shark,fishing
234,undef. shark,surfing
235,undef. shark,fishing
236,undef. shark,diving
237,undef. shark,swimming
238,white shark,diving
239,nurse shark,surfing
240,undef. shark,undef. act
241,undef. shark,surfing
242,white shark,fishing
243,undef. shark,undef. act
244,undef. shark,swimming
245,white shark,surfing
246,undef. shark,fishing
247,undef. shark,diving
248,undef. shark,fishing
249,undef. shark,fishing
250,undef. shark,surfing
251,undef. shark,fishing
252,white shark,fishing
253,undef. shark,surfing
254,white shark,undef. act
255,undef. shark,diving
256,undef. shark,surfing
257,undef. shark,surfing
258,tiger shark,surfing
259,undef. shark,surfing
260,tiger shark,undef. act
261,undef. shark,undef. act
262,undef. shark,surfing
263,undef. shark,surfing
264,undef. shark,surfing
265,bull shark,sailing
266,undef. shark,surfing
267,undef. shark,fishing
268,undef. shark,surfing
269,blacktip shark,surfing
270,blacktip shark,surfing
271,white shark,surfing
272,white shark,surfing
273,undef. shark,surfing
274,white shark,surfing
275,undef. shark,surfing
276,blacktip shark,undef. act
277,undef. shark,surfing
278,undef. shark,swimming
279,bull shark,fishing
280,white shark,surfing
281,undef. shark,fishing
282,undef. shark,surfing
283,undef. shark,surfing
284,undef. shark,surfing
285,undef. shark,undef. act
286,undef. shark,fishing
287,undef. shark,swimming
288,undef. shark,surfing
289,undef. shark,sailing
290,bull shark,fishing
291,undef. shark,sailing
292,reef shark,fishing
293,bull shark,sailing
294,undef. shark,undef. act
295,bull shark,fishing
296,undef. shark,swimming
297,bull shark,swimming
298,undef. shark,sailing
299,undef. shark,swimming
300,undef. shark,surfing
301,undef. shark,sailing
302,white shark,surfing
303,undef. shark,undef. act
304,tiger shark,swimming
305,undef. shark,surfing
306,undef. shark,sailing
307,undef. shark,swimming
308,undef. shark,swimming
309,undef. shark,swimming
310,undef. shark,diving
311,undef. shark,surfing
312,undef. shark,surfing
313,white shark,swimming
314,undef. shark,surfing
315,undef. shark,surfing
316,copper shark,surfing
317,reef shark,fishing
318,undef. shark,surfing
319,undef. shark,sailing
320,undef. shark,undef. act
321,undef. shark,fishing
322,undef. shark,sailing
323,copper shark,sailing
324,undef. shark,surfing
325,undef. shark,undef. act
326,bull shark,swimming
327,undef. shark,surfing
328,reef shark,undef. act
329,bull shark,undef. act
330,undef. shark,diving
331,nurse shark,undef. act
332,undef. shark,diving
333,undef. shark,sailing
334,white shark,surfing
335,undef. shark,swimming
336,undef. shark,surfing
337,undef. shark,diving
338,undef. shark,swimming
339,undef. shark,surfing
340,reef shark,fishing
341,undef. shark,swimming
342,undef. shark,swimming
343,white shark,undef. act
344,nurse shark,fishing
345,undef. shark,surfing
346,undef. shark,surfing
347,white shark,swimming
348,undef. shark,diving
349,undef. shark,swimming
350,undef. shark,surfing
351,undef. shark,surfing
352,undef. shark,surfing
353,undef. shark,surfing
354,undef. shark,diving
355,undef. shark,undef. act
356,undef. shark,swimming
357,undef. shark,surfing
358,reef shark,undef. act
359,undef. shark,sailing
360,undef. shark,fishing
361,undef. shark,fishing
362,undef. shark,surfing
363,undef. shark,fishing
364,undef. shark,fishing
365,undef. shark,undef. act
366,white shark,diving
367,bull shark,diving
368,white shark,surfing
369,undef. shark,swimming
370,tiger shark,sailing
371,undef. shark,surfing
372,undef. shark,surfing
373,undef. shark,surfing
374,tiger shark,sailing
375,undef. shark,diving
376,white shark,surfing
377,white shark,surfing
378,white shark,surfing
379,undef. shark,fishing
380,undef. shark,sailing
381,undef. shark,surfing
382,tiger shark,undef. act
383,reef shark,diving
384,bull shark,sailing
385,white shark,diving
386,undef. shark,surfing
387,reef shark,diving
388,tiger shark,surfing
389,nurse shark,swimming
390,white shark,swimming
391,white shark,diving
392,white shark,surfing
393,bull shark,swimming
394,undef. shark,surfing
395,undef. shark,diving
396,undef. shark,sailing
397,undef. shark,swimming
398,undef. shark,surfing
399,bull shark,swimming
400,undef. shark,surfing
401,undef. shark,undef. act
402,undef. shark,surfing
403,undef. shark,sailing
404,undef. shark,swimming
405,nurse shark,undef. act
406,undef. shark,undef. act
407,undef. shark,undef. act
408,blacktip shark,fishing
409,undef. shark,swimming
410,undef. shark,swimming
411,mako shark,fishing
412,undef. shark,sailing
413,undef. shark,undef. act
414,undef. shark,surfing
415,white shark,surfing
416,tiger shark,diving
417,undef. shark,undef. act
418,bull shark,surfing
419,blacktip shark,swimming
420,bull shark,fishing
421,undef. shark,diving
422,undef. shark,swimming
423,undef. shark,fishing
424,undef. shark,swimming
425,tiger shark,surfing
426,nurse shark,undef. act
427,undef. shark,diving
428,undef. shark,swimming
429,undef. shark,sailing
430,undef. shark,swimming
431,undef. shark,swimming
432,undef. shark,swimming
433,undef. shark,swimming
434,undef. shark,swimming
435,undef. shark,surfing
436,undef. shark,fishing
437,undef. shark,undef. act
438,white shark,surfing
439,bull shark,swimming
440,undef. shark,swimming
441,tiger shark,swimming
442,undef. shark,swimming
443,undef. shark,surfing
444,undef. shark,surfing
445,undef. shark,sailing
446,undef. shark,fishing
447,undef. shark,surfing
448,undef. shark,diving
449,undef. shark,swimming
450,undef. shark,undef. act
451,undef. shark,fishing
452,undef. shark,surfing
453,undef. shark,surfing
454,bull shark,sailing
455,undef. shark,surfing
456,undef. shark,fishing
457,tiger shark,swimming
458,nurse shark,fishing
459,undef. shark,surfing
460,undef. shark,diving
461,bull shark,surfing
462,undef. shark,undef. act
463,reef shark,sailing
464,undef. shark,swimming
465,undef. shark,undef. act
466,undef. shark,surfing
467,undef. shark,surfing
468,undef. shark,diving
469,nurse shark,diving
470,undef. shark,fishing
471,nurse shark,fishing
472,undef. shark,surfing
473,tiger shark,fishing
474,copper shark,fishing
475,undef. shark,swimming
476,undef. shark,swimming
477,white shark,swimming
478,reef shark,surfing
479,reef shark,surfing
480,blacktip shark,surfing
481,undef. shark,diving
482,undef. shark,undef. act
483,white shark,fishing
484,undef. shark,surfing
485,undef. shark,undef. act
486,tiger shark,surfing
487,copper shark,fishing
488,undef. shark,fishing
489,undef. shark,swimming
490,undef. shark,surfing
491,bull shark,sailing
492,tiger shark,swimming
493,tiger shark,surfing
494,undef. shark,surfing
495,nurse shark,fishing
496,undef. shark,diving
497,tiger shark,diving
498,undef. shark,undef. act
499,undef. shark,swimming
500,undef. shark,surfing
501,tiger shark,diving
502,tiger shark,surfing
503,white shark,surfing
504,tiger shark,swimming
505,white shark,surfing
506,undef. shark,undef. act
507,undef. shark,surfing
508,undef. shark,sailing
509,undef. shark,undef. act
510,undef. shark,swimming
511,undef. shark,surfing
512,undef. shark,undef. act
513,undef. shark,surfing
514,undef. shark,surfing
515,undef. shark,surfing
516,bull shark,swimming
517,undef. shark,surfing
518,undef. shark,surfing
519,undef. shark,swimming
520,undef. shark,surfing
521,undef. shark,surfing
522,undef. shark,surfing
523,undef. shark,sailing
524,tiger shark,fishing
525,undef. shark,swimming
526,undef. shark,fishing
527,undef. shark,surfing
528,undef. shark,swimming
529,undef. shark,swimming
530,undef. shark,fishing
531,undef. shark,diving
532,bull shark,surfing
533,undef. shark,fishing
534,undef. shark,surfing
535,white shark,surfing
536,undef. shark,surfing
537,white shark,surfing
538,undef. shark,undef. act
539,undef. shark,surfing
540,undef. shark,swimming
541,undef. shark,surfing
542,white shark,surfing
543,undef. shark,swimming
544,undef. shark,fishing
545,undef. shark,diving
546,undef. shark,surfing
547,undef. shark,surfing
548,undef. shark,swimming
549,bull shark,swimming
550,undef. shark,surfing
551,reef shark,surfing
552,undef. shark,surfing
553,undef. shark,swimming
554,undef. shark,surfing
555,undef. shark,sailing
556,undef. shark,swimming
557,nurse shark,fishing
558,blacktip shark,swimming
559,undef. shark,swimming
560,blacktip shark,swimming
561,blacktip shark,swimming
562,undef. shark,surfing
563,undef. shark,swimming
564,white shark,surfing
565,undef. shark,surfing
566,undef. shark,sailing
567,undef. shark,swimming
568,bull shark,diving
569,undef. shark,surfing
570,tiger shark,fishing
571,undef. shark,fishing
572,white shark,surfing
573,undef. shark,swimming
574,white shark,sailing
575,undef. shark,surfing
576,white shark,sailing
577,white shark,surfing
578,tiger shark,surfing
579,undef. shark,undef. act
580,white shark,diving
581,undef. shark,surfing
582,white shark,undef. act
583,bull shark,surfing
584,bull shark,surfing
585,undef. shark,surfing
586,undef. shark,surfing
587,undef. shark,surfing
588,nurse shark,diving
589,undef. shark,sailing
590,undef. shark,surfing
591,undef. shark,swimming
592,undef. shark,fishing
593,undef. shark,surfing
594,nurse shark,fishing
595,white shark,fishing
596,undef. shark,surfing
597,tiger shark,diving
598,undef. shark,diving
599,tiger shark,diving
600,undef. shark,fishing
601,white shark,surfing
602,bull shark,swimming
603,white shark,surfing
604,undef. shark,surfing
605,tiger shark,fishing
606,undef. shark,undef. act
607,undef. shark,swimming
608,undef. shark,surfing
609,undef. shark,surfing
610,undef. shark,surfing
611,undef. shark,fishing
612,white shark,surfing
613,undef. shark,surfing
614,undef. shark,surfing
615,undef. shark,surfing
616,undef. shark,fishing
617,undef. shark,surfing
618,undef. shark,surfing
619,undef. shark,swimming
