,Shark_sp,Deadly_act,Genre
0,undef. shark,surfing,M
1,undef. shark,surfing,M
2,undef. shark,surfing,M
3,undef. shark,surfing,M
4,undef. shark,surfing,M
5,undef. shark,fishing,F
6,undef. shark,swimming,M
7,tiger shark,swimming,F
8,undef. shark,surfing,M
9,undef. shark,sailing,F
10,undef. shark,surfing,M
11,undef. shark,sailing,M
12,white shark,fishing,M
13,bull shark,surfing,M
14,undef. shark,surfing,M
15,bull shark,surfing,M
16,undef. shark,swimming,M
17,undef. shark,diving,M
18,tiger shark,sailing,M
20,undef. shark,swimming,M
21,undef. shark,swimming,M
22,white shark,surfing,M
24,undef. shark,surfing,M
25,undef. shark,surfing,M
26,undef. shark,surfing,M
27,bull shark,fishing,M
29,tiger shark,fishing,M
30,undef. shark,surfing,F
31,undef. shark,undef. act,F
32,undef. shark,swimming,M
33,undef. shark,diving,M
34,undef. shark,swimming,F
35,white shark,fishing,M
36,undef. shark,fishing,M
37,white shark,fishing,M
38,undef. shark,swimming,F
40,undef. shark,undef. act,M
41,undef. shark,surfing,M
43,white shark,fishing,M
44,undef. shark,sailing,M
45,undef. shark,swimming,M
46,undef. shark,surfing,M
47,undef. shark,fishing,M
48,undef. shark,sailing,F
49,undef. shark,sailing,M
50,undef. shark,surfing,M
51,undef. shark,swimming,M
52,undef. shark,diving,F
55,undef. shark,surfing,M
56,white shark,surfing,M
57,undef. shark,swimming,F
58,undef. shark,swimming,M
59,undef. shark,swimming,F
60,bull shark,swimming,F
61,undef. shark,swimming,F
64,undef. shark,sailing,M
66,bull shark,surfing,M
67,undef. shark,surfing,M
68,white shark,surfing,M
69,undef. shark,swimming,M
71,bull shark,fishing,M
72,tiger shark,sailing,F
73,undef. shark,undef. act,M
74,undef. shark,fishing,M
75,undef. shark,undef. act,M
76,undef. shark,diving,F
77,undef. shark,surfing,M
78,undef. shark,undef. act,M
79,undef. shark,surfing,M
81,undef. shark,surfing,M
82,undef. shark,surfing,M
83,undef. shark,diving,M
84,undef. shark,undef. act,M
85,undef. shark,fishing,M
87,undef. shark,surfing,M
88,undef. shark,fishing,M
89,undef. shark,swimming,F
90,undef. shark,undef. act,M
91,undef. shark,surfing,M
92,undef. shark,sailing,F
93,undef. shark,surfing,M
94,undef. shark,fishing,M
96,undef. shark,surfing,F
97,bull shark,fishing,M
99,tiger shark,sailing,M
100,undef. shark,surfing,M
102,undef. shark,fishing,M
103,white shark,fishing,M
104,undef. shark,swimming,F
105,undef. shark,sailing,M
107,tiger shark,diving,M
108,undef. shark,undef. act,M
109,white shark,fishing,M
110,bull shark,fishing,M
111,undef. shark,swimming,F
112,undef. shark,surfing,M
113,undef. shark,swimming,F
114,undef. shark,surfing,M
115,bull shark,surfing,M
116,undef. shark,surfing,F
117,undef. shark,swimming,M
